,timestamp,trip.tripId,trip.routeId,position.latitude,position.longitude,position.bearing,position.speed,vehicle.id,vehicle.licensePlate
0,1709044906,202402272229K10001CDH2347,K1000,3.79621,103.3173,241.0,35.0,CDH2347,CDH2347
1,1709044967,202402272228K40201CDH8301,K4020,3.80445,103.3355,157.0,62.0,CDH8301,CDH8301
2,1709044961,202402272223K60001CDH8312,K6000,3.82587,103.3363,63.0,17.0,CDH8312,CDH8312
3,1709044951,202402272130K40001CDH8317,K4000,3.50484,103.3903,247.0,65.0,CDH8317,CDH8317
4,1709044947,202402272128K10001CDD1433,K1000,3.70345,103.0515,253.0,52.0,CDD1433,CDD1433
5,1709044962,202402272230K40001CDH8903,K4000,3.7851,103.2918,248.0,60.0,CDH8903,CDH8903
