,timestamp,trip.tripId,trip.startDate,trip.routeId,trip.directionId,position.latitude,position.longitude,vehicle.id,trip.startTime
0,1709044960,0002_T20CWL_12280_1_SM4_ALLDAY_1_5,20240227,T20,0,1.4932978,103.873245,SS8569Y,
1,1709044959,0002_T11CWL_12268_1_P3_ALLDAY_1_3,20240227,T11,0,1.5322398,103.76444,JVX1031,
2,1709044959,0002_T10CWL_12356_0_P8_ALLDAY_2_2,20240227,T10,1,1.5115523,103.73302,JSF4456,
3,1709044959,0002_CW1CWL_11316_1_OS9_ALLDAY_1_9,20240227,CW1,0,1.4468553,103.76901,JWK7519,
4,1709044959,0002_CW2CWL_11318_1_P9_ALLDAY_1_3,20240227,CW2,0,1.4480858,103.76981,JSU4731,
5,1709044958,0002_F100CWL_12274_0_P1_ALLDAY_1_2,20240227,F100,0,1.4634603,103.76493,JWG7689,
6,1709044958,0002_T11CWL_12267_0_P8_ALLDAY_2_2,20240227,T11,1,1.4717623,103.765564,JWF6916,
7,1709044958,0002_CW3LCWL_11283_0_P8_ALLDAY_2_3,20240227,CW3L,1,1.4823605,103.66115,JWJ2354,
8,1709044958,0002_T10CWL_12357_1_P5_ALLDAY_1_3,20240227,T10,0,1.6764004,103.85251,JSP847,
9,1709044958,0002_CW1CWL_11317_0_P14_ALLDAY_2_4,20240227,CW1,1,1.4483525,103.769936,JTF6014,
10,1709044958,0002_T12CWL_12260_1_P1_ALLDAY_2_5,20240227,T12,1,1.5980735,103.82228,JTM6062,
11,1709044958,0002_T33CWL_12265_0_P1_ALLDAY_2_4,20240227,T33,1,1.4814348,103.64905,JSL6477,
