,timestamp,trip.tripId,trip.routeId,position.latitude,position.longitude,position.bearing,position.speed,vehicle.id,vehicle.licensePlate
107,1709049065,202402272327U70801WUY4101,U7080,3.0731,101.5215,298.0,16.0,WUY4101,WUY4101
108,1709049062,202402272300U82102WUY9518,U8210,3.10372,101.666,173.0,12.0,WUY9518,WUY9518
109,1709049057,202402272207U77102WUW4140,U7710,3.04262,101.5926,5.0,19.0,WUW4140,WUW4140
110,1709049043,202402272154U75302W4677V,U7530,3.19681,101.4505,155.0,,W4677V,W4677V
111,1709049082,202402272315U75202WVG7158,U7520,3.02843,101.5696,320.0,13.0,WVG7158,WVG7158
112,1709049082,202402272301U20201WVH7696,U2020,3.25124,101.6902,275.0,27.0,WVH7696,WVH7696
113,1709049071,202402272309U75101WA1675G,U7510,3.06362,101.5298,251.0,42.0,WA1675G,WA1675G
114,1709049096,202402272330U19102WB5064K,U1910,3.19763,101.6658,22.0,24.0,WB5064K,WB5064K
115,1709049087,202402271521U80202WUX5708,U8020,3.15502,101.6077,267.0,33.0,WUX5708,WUX5708
116,1709049086,202402272230U25102WVF5646,U2510,3.19212,101.7277,182.0,9.0,WVF5646,WVF5646
117,1709049104,10015782_1000000412_233000_01,T5450,2.982997,101.60915,109.0,11.0,VH4215,VH4215
118,1709049108,10019125_1000000225_233000_01,T4620,2.971521,101.772095,89.0,,VAJ1514,VAJ1514
119,1709049102,10002149_1000000434_233000_01,T1030,3.190769,101.592415,258.0,,VAJ2875,VAJ2875
120,1709049098,10013080_1000000322_233000_01,T1140,3.256157,101.65803,242.0,23.0,VH1373,VH1373
121,1709049089,10016977_1000000435_233000_01,T8040,3.153865,101.55404,26.0,21.0,VAJ8974,VAJ8974
122,1709049085,10015822_1000000422_233000_01,T8010,3.167055,101.568596,210.0,,VAJ9068,VAJ9068
123,1709049093,10012583_1000000427_233000_01,T4010,3.114325,101.72021,266.0,38.0,VAF7134,VAF7134
124,1709049090,10016322_1000000453_233000_01,T4170,3.021545,101.75123,321.0,43.0,VAE7492,VAE7492
125,1709049072,202402272348U22001WVC6428,U2200,3.17027,101.7163,37.0,1.0,WVC6428,WVC6428
126,1709049098,202402272251T20102WVB3658,T2010,3.24002,101.7213,130.0,38.0,WVB3658,WVB3658
127,1709049086,202402271632T22302WVB3764,T2230,3.12532,101.7298,,,WVB3764,WVB3764
128,1709049113,10016685_1000000456_233000_01,T5690,3.041057,101.77297,,3.0,VH4557,VH4557
129,1709049110,10020103_1000000379_233000_01,T5850,3.106611,101.68396,203.0,2.0,VH2494,VH2494
130,1709049107,10016269_1000000295_233000_01,T4640,2.938696,101.785255,216.0,45.0,VM1897,VM1897
131,1709049099,10016152_1000000246_233000_01,T4590,2.999593,101.78481,323.0,29.0,VH4046,VH4046
132,1709049086,10003838_1000000451_233000_01,T5630,3.052304,101.68867,98.0,14.0,VX2890,VX2890
133,1709049115,10015249_1000000421_233000_01,T4130,3.073046,101.76478,211.0,18.0,VAE7147,VAE7147
134,1709049090,202402271954U25302WVL581,U2530,3.18723,101.7558,,,WVL581,WVL581
135,1709049070,202402271608U42002WB5736U,U4200,3.12455,101.7295,,,WB5736U,WB5736U
136,1709049094,202402271827U42102WVJ1046,U4210,3.1355,101.7399,247.0,8.0,WVJ1046,WVJ1046
137,1709049095,202402272311U19001WVA4143,U1900,3.16427,101.648,,,WVA4143,WVA4143
138,1709049097,202402271531T35002WVN5571,T3500,3.13817,101.753,,,WVN5571,WVN5571
139,1709049097,202402272259T64002WPX7357,T6400,3.07068,101.7055,169.0,57.0,WPX7357,WPX7357
140,1709049096,202402271633S91002WB946L,S9100,3.027,101.7204,87.0,53.0,WB946L,WB946L
